id,jawaban_a,jawaban_b,jawaban_c,jawaban_d,jawaban_e,tingkat_kesukaran,daya_pembeda,cluster
1b4f4d72-5783-11ea-b304-86cbb67d2138,0.15359261700725116,0.16677653263019115,0.2794990112063283,0.17930125247198417,0.2148978246539222,0.166777,-0.02445,0
1b4f4d77-5783-11ea-b304-86cbb67d2138,0.5563612392880686,0.04878048780487805,0.26499670402109426,0.06526038233355307,0.057350032959789056,0.264997,0.107579,0
1b4f4d7c-5783-11ea-b304-86cbb67d2138,0.5194462755438365,0.08042188529993408,0.12920237310481214,0.08503625576796309,0.1786420566908372,0.519446,0.672372,1
1b4f4d81-5783-11ea-b304-86cbb67d2138,0.2966381015161503,0.23269611074489124,0.06591957811470006,0.1786420566908372,0.21819380355965723,0.232696,0.217604,0
1b4f4d87-5783-11ea-b304-86cbb67d2138,0.11601845748187212,0.3071852340145023,0.17930125247198417,0.3065260382333553,0.08437705998681608,0.307185,0.427873,2
1b4f4d89-5783-11ea-b304-86cbb67d2138,0.025049439683586024,0.06460118655240607,0.09887936717205009,0.7020435069215557,0.1008569545154911,0.098879,0.00978,0
1b4f4d93-5783-11ea-b304-86cbb67d2138,0.16282135794330915,0.1094264996704021,0.1001977587343441,0.4087013843111404,0.2122610415293342,0.212261,0.036675,0
1b4f4d98-5783-11ea-b304-86cbb67d2138,0.35860250494396834,0.11206328279499012,0.13513513513513514,0.3157547791694133,0.07053394858272907,0.358603,0.300733,0
1b4f4d9d-5783-11ea-b304-86cbb67d2138,0.27752142386288725,0.13052076466710613,0.23269611074489124,0.2017139090309822,0.14963744232036916,0.277521,0.371638,0
1b4f4da2-5783-11ea-b304-86cbb67d2138,0.1997363216875412,0.13052076466710613,0.39156229400131837,0.2023731048121292,0.07119314436387607,0.202373,0.198044,0
1b4f4da7-5783-11ea-b304-86cbb67d2138,0.16611733684904417,0.25576796308503624,0.31048121292023734,0.0936058009228741,0.16743572841133816,0.255768,0.256724,0
1b4f4dab-5783-11ea-b304-86cbb67d2138,0.23599208965062624,0.35332893869479237,0.11404087013843112,0.2010547132498352,0.08767303889255108,0.353329,0.374083,2
1b4f4db0-5783-11ea-b304-86cbb67d2138,0.1015161502966381,0.22808174027686223,0.2643375082399473,0.25510876730388926,0.14370468029004616,0.255109,0.322738,0
1b4f4db8-5783-11ea-b304-86cbb67d2138,0.24851680949241925,0.0903098220171391,0.10283454185893211,0.11931443638760712,0.4317732366512854,0.102835,-0.03423,0
1b4f4dcd-5783-11ea-b304-86cbb67d2138,0.4001318391562294,0.20962425840474622,0.08899143045484509,0.08569545154911008,0.2089650626235992,0.400132,0.545232,1
1b4f4cf4-5783-11ea-b304-86cbb67d2138,0.18974042027194066,0.3374536464771323,0.2595797280593325,0.1631644004944376,0.04388133498145859,0.337454,0.419725,2
1b4f4cfb-5783-11ea-b304-86cbb67d2138,0.0630407911001236,0.23794808405438814,0.20395550061804696,0.1668726823238566,0.32014833127317677,0.203956,0.082569,0
